tinh,huyen,xa,diaban,hoso,matv,educlevel
1,1,4,12,13,1,Primary
1,1,4,12,13,2,Higher secondary
1,1,4,12,13,3,Lower secondary
1,1,4,12,13,4,Lower secondary
1,1,4,12,13,5,No qualification
1,1,4,12,13,6,No qualification
1,1,4,12,14,1,University
1,1,4,12,14,2,University
1,1,4,12,15,1,University
1,1,4,12,15,2,University
1,1,4,12,15,3,University
1,1,4,12,15,4,University
1,1,7,22,13,1,University
1,1,7,22,13,2,University
1,1,7,22,13,3,University
1,1,7,22,13,4,Higher secondary
1,1,7,22,15,1,Higher secondary
1,1,7,22,15,2,University
1,1,7,22,15,3,University
1,1,7,22,15,4,Higher secondary
1,1,7,22,20,1,University
1,1,7,22,20,2,University
1,1,7,22,20,3,No qualification
1,1,7,22,20,4,No qualification
1,1,7,22,20,5,Lower secondary
1,1,16,15,14,1,University
1,1,16,15,14,2,University
1,1,16,15,19,1,University
1,1,16,15,19,2,University
1,1,16,15,19,3,No qualification
1,1,16,15,20,1,University
1,1,16,15,20,2,University
1,1,16,15,20,3,Primary
1,1,16,15,20,4,No qualification
1,1,22,19,13,1,Lower secondary
1,1,22,19,13,2,Higher secondary
1,1,22,19,13,3,University
1,1,22,19,13,4,University
1,1,22,19,13,5,No qualification
1,1,22,19,14,1,PhD
1,1,22,19,14,2,University
1,1,22,19,14,3,No qualification
1,1,22,19,14,4,No qualification
1,1,22,19,19,1,University
1,1,22,19,19,2,University
1,1,22,19,19,3,Higher secondary
1,1,22,19,19,4,No qualification
1,1,28,20,13,1,University
1,1,28,20,13,2,University
1,1,28,20,13,3,University
1,1,28,20,13,4,University
1,1,28,20,15,1,University
1,1,28,20,15,2,University
1,1,28,20,15,3,Higher secondary
1,1,28,20,15,4,University
1,1,28,20,15,5,Lower secondary
1,1,28,20,15,6,Primary
1,1,28,20,19,1,University
1,1,28,20,19,2,University
1,1,28,20,19,3,Higher secondary
1,1,28,20,19,4,University
1,1,28,20,19,5,University
1,1,28,20,19,6,
1,1,34,25,13,1,University
1,1,34,25,13,2,University
1,1,34,25,13,3,Higher secondary
1,1,34,25,13,4,Higher secondary
1,1,34,25,14,1,University
1,1,34,25,14,2,University
1,1,34,25,14,3,No qualification
1,1,34,25,15,1,Lower secondary
1,1,34,25,15,2,Higher secondary
1,1,34,25,15,3,Higher secondary
1,1,34,25,15,4,
1,1,34,25,15,5,
1,2,40,6,13,1,Higher secondary
1,2,40,6,13,2,Higher secondary
1,2,40,6,13,3,No qualification
1,2,40,6,13,4,
1,2,40,6,14,1,College
1,2,40,6,14,2,Higher secondary
1,2,40,6,15,1,Lower secondary
1,2,40,6,15,2,Higher secondary
1,2,40,6,15,3,Higher secondary
1,2,40,6,15,4,No qualification
1,2,55,11,13,1,University
1,2,55,11,13,2,Higher secondary
1,2,55,11,14,1,University
1,2,55,11,14,2,Higher secondary
1,2,55,11,14,3,Lower secondary
1,2,55,11,14,4,No qualification
1,2,55,11,15,1,Lower secondary
1,2,55,11,15,2,Lower secondary
1,2,55,11,15,3,University
1,2,67,23,15,1,No qualification
1,2,67,23,15,2,
1,2,67,23,19,1,Higher secondary
1,2,67,23,19,2,Higher secondary
1,2,67,23,19,3,University
1,2,67,23,19,4,Higher secondary
1,2,67,23,20,1,Higher secondary
1,2,67,23,20,2,Primary
1,2,67,23,20,3,University
1,2,67,23,20,4,University
1,2,67,23,20,5,
1,2,79,11,13,1,University
1,2,79,11,13,2,University
1,2,79,11,13,3,Higher secondary
1,2,79,11,14,1,Lower secondary
1,2,79,11,14,2,Primary
1,2,79,11,14,3,Lower secondary
1,2,79,11,19,1,University
1,2,79,11,19,2,College
1,2,79,11,19,3,No qualification
1,2,79,11,19,4,Higher secondary
1,3,91,6,13,1,Higher secondary
1,3,91,6,13,2,Lower secondary
1,3,91,6,13,3,Higher secondary
1,3,91,6,13,4,Higher secondary
1,3,91,6,13,5,
1,3,91,6,14,1,Higher secondary
1,3,91,6,14,2,Higher secondary
1,3,91,6,15,1,Lower secondary
1,3,91,6,15,2,Higher secondary
1,3,91,6,15,3,
1,3,106,13,13,1,Higher secondary
1,3,106,13,13,2,Higher secondary
1,3,106,13,14,1,Lower secondary
1,3,106,13,14,2,Lower secondary
1,3,106,13,14,3,Higher secondary
1,3,106,13,14,4,Higher secondary
1,3,106,13,15,1,No qualification
1,3,106,13,15,2,Higher secondary
1,3,106,13,15,3,Higher secondary
1,3,106,13,15,4,
1,3,112,20,13,1,University
1,3,112,20,13,2,Higher secondary
1,3,112,20,13,3,Primary
1,3,112,20,13,4,
1,3,112,20,15,1,Lower secondary
1,3,112,20,15,2,Lower secondary
1,3,112,20,15,3,Higher secondary
1,3,112,20,15,4,Higher secondary
1,3,112,20,15,5,Primary
1,3,112,20,20,1,Higher secondary
1,3,112,20,20,2,Lower secondary
1,3,112,20,20,3,Higher secondary
1,3,112,20,20,4,Higher secondary
1,3,112,20,20,5,Primary
1,3,112,20,20,6,No qualification
1,4,118,39,13,1,Lower secondary
1,4,118,39,13,2,Higher secondary
1,4,118,39,13,3,University
1,4,118,39,13,4,University
1,4,118,39,14,1,Higher secondary
1,4,118,39,14,2,Higher secondary
1,4,118,39,14,3,Higher secondary
1,4,118,39,14,4,Lower secondary
1,4,118,39,15,1,No qualification
1,4,118,39,15,2,No qualification
1,4,118,39,15,3,Lower secondary
1,4,118,39,15,4,Higher secondary
1,4,124,39,14,1,University
1,4,124,39,14,2,University
1,4,124,39,14,3,MA/MSc
1,4,124,39,14,4,University
1,4,124,39,14,5,University
1,4,124,39,15,1,Higher secondary
1,4,124,39,15,2,Higher secondary
1,4,124,39,20,1,University
1,4,124,39,20,2,University
1,4,133,30,14,1,University
1,4,133,30,14,2,Lower secondary
1,4,133,30,14,3,Higher secondary
1,4,133,30,14,4,Higher secondary
1,4,133,30,15,1,University
1,4,133,30,15,2,College
1,4,133,30,15,3,University
1,4,133,30,15,4,Higher secondary
1,4,133,30,20,1,Higher secondary
1,4,133,30,20,2,University
1,4,133,30,20,3,No qualification
1,4,139,50,13,1,University
1,4,139,50,13,2,University
1,4,139,50,13,3,No qualification
1,4,139,50,13,4,Higher secondary
1,4,139,50,14,1,Lower secondary
1,4,139,50,14,2,Lower secondary
1,4,139,50,14,3,Higher secondary
1,4,139,50,14,4,Higher secondary
1,4,139,50,19,1,Lower secondary
1,4,139,50,19,2,Higher secondary
1,4,148,6,13,1,University
1,4,148,6,13,2,Higher secondary
1,4,148,6,13,3,University
1,4,148,6,13,4,University
1,4,148,6,13,5,University
1,4,148,6,13,6,
1,4,148,6,14,1,Lower secondary
1,4,148,6,14,2,Lower secondary
1,4,148,6,14,3,Higher secondary
1,4,148,6,14,4,Primary
1,4,148,6,15,1,Lower secondary
1,4,148,6,15,2,Lower secondary
1,4,148,6,15,3,No qualification
1,4,148,6,15,4,Primary
1,4,148,6,15,5,No qualification
1,5,157,22,13,1,University
1,5,157,22,13,2,Higher secondary
1,5,157,22,13,3,University
1,5,157,22,13,4,University
1,5,157,22,13,5,Primary
1,5,157,22,13,6,No qualification
1,5,157,22,14,1,University
1,5,157,22,14,2,University
1,5,157,22,14,3,Higher secondary
1,5,157,22,14,4,Higher secondary
1,5,157,22,20,1,University
1,5,157,22,20,2,University
1,5,157,22,20,3,Primary
1,5,157,22,20,4,No qualification
1,5,163,12,13,1,Lower secondary
1,5,163,12,13,2,Lower secondary
1,5,163,12,13,3,University
1,5,163,12,13,4,Higher secondary
1,5,163,12,13,5,Higher secondary
1,5,163,12,13,6,Higher secondary
1,5,163,12,14,1,University
1,5,163,12,14,2,University
1,5,163,12,14,3,University
1,5,163,12,14,4,University
1,5,163,12,14,5,
1,5,163,12,15,1,University
1,5,163,12,15,2,University
1,5,163,12,15,3,University
1,5,163,12,15,4,University
1,5,163,12,15,5,
1,5,167,23,13,1,Lower secondary
1,5,167,23,13,2,University
1,5,167,23,13,3,University
1,5,167,23,14,1,University
1,5,167,23,14,2,University
1,5,167,23,14,3,University
1,5,167,23,15,1,MA/MSc
1,5,167,23,15,2,MA/MSc
1,5,172,36,13,1,University
1,5,172,36,13,2,Higher secondary
1,5,172,36,14,1,Higher secondary
1,5,172,36,14,2,MA/MSc
1,5,172,36,14,3,Primary
1,5,172,36,19,1,College
1,5,172,36,19,2,University
1,5,172,36,19,3,University
1,5,172,36,19,4,University
1,5,172,36,19,5,No qualification
1,5,172,36,19,6,
1,6,178,8,13,1,Primary
1,6,178,8,13,2,Primary
1,6,178,8,13,3,Lower secondary
1,6,178,8,13,4,Lower secondary
1,6,178,8,14,1,College
1,6,178,8,14,2,College
1,6,178,8,14,3,No qualification
1,6,178,8,14,4,No qualification
1,6,178,8,20,1,Higher secondary
1,6,178,8,20,2,Lower secondary
1,6,178,8,20,3,Lower secondary
1,6,178,8,20,4,Lower secondary
1,6,178,8,20,5,Lower secondary
