,Year,CodePro,province,lFDI,lFDI1,GDP,Skill,Wage,Entrycost,Landaccess,Transparency,Timecost,Informalcharge,LaborPolicy,Lawandorder,Participation,Transparent,Accountability,Corruption,Procedure,Provision,Export,Labor,GE,lGDP
2,2011,1,An Giang,3.6963515,4.195697,58851.49609375,13.220548,1595.0,9.130531,6.251224,5.622292,7.855848,6.755617,4.01323,4.841155,4.869586,4.958939,4.735237,5.540307,6.467561,6.805312,17471.671,1300.4,6830.503092687001,10.982772534519066
3,2012,1,An Giang,0.35767445,3.6963515,53961.058000000005,14.842687,1871.0,9.000656,7.778561,6.127866,6.750992,7.01615,5.207252,3.671137,4.691073,5.076869,5.02952,5.419241,6.538087,6.869814,18028.365,1304.4,8846.136716212,10.896017917245858
4,2013,1,An Giang,2.1282318,0.35767445,58325.03690968482,17.89072,2171.5,7.654158,6.408716,5.732105,7.811301,6.757804,4.90234,5.325434,4.691073,5.076869,5.02952,5.419241,6.538087,6.869814,22356.294,1275.8,9443.170066929999,10.973786729717288
5,2014,1,An Giang,5.134837,2.1282318,63375.15203674284,17.341246,2472.0,8.895927429199219,6.906532287597656,5.9157938957214355,7.540604591369629,6.163571357727051,4.751629829406738,6.131945610046387,4.756897,5.583562,5.732325,7.017166,6.889343,7.164692,17651.79,1218.3,9703.650347851,11.056827139892466
6,2015,1,An Giang,4.552046,5.134837,63864.200000000004,15.050906,2682.0,8.677753448486328,5.94183874130249,6.49681282043457,6.998965263366699,4.663004398345947,5.136045455932617,6.176602363586426,4.384708404541016,4.82305908203125,5.284921646118164,5.852668285369873,6.652491569519043,7.29044246673584,14518.125,1218.9,11118.858758843999,11.064514232975498
7,2016,1,An Giang,2.488845,4.552046,68526.3,17.760311,2892.0,8.58357048034668,6.020414352416992,6.203458786010742,6.9713592529296875,5.401663780212402,5.228745460510254,5.629559516906738,4.480678081512451,5.601372241973877,5.0393967628479,5.764217853546143,7.207783222198486,7.540432453155518,12382.824999999999,1228.3,11683.944685212002,11.134972892169438
8,2017,1,An Giang,2.2115521,2.488845,75205.54299999999,20.852976,3102.0,8.674999237060547,6.3720293045043945,6.92063045501709,6.8762593269348145,5.20352029800415,5.693673610687256,6.1503825187683105,5.2445454597473145,5.885788440704346,4.556298732757568,6.947654724121094,7.263466835021973,7.6142096519470215,13836.558,1233.6,10706.091,11.227980217327858
11,2011,2,Bình Phước,4.4761996,5.108971,24822.109375,20.757551,1872.0,9.011099,7.619298,6.565762,6.506409,8.620242,4.743719,5.883302,5.433785,6.020853,5.847684,5.512823,7.129824,5.919043,14547.806,531.7,4435.191998624999,10.119490042053137
12,2012,2,Bình Phước,4.567624,4.4761996,31297.95,20.78765,2218.0,8.303185,6.831597,6.160461,5.072346,7.096837,4.409134,3.837762,6.034218,6.551477,6.307601,6.083885,6.896664,6.373647,13289.54,568.4,6005.820774057999,10.351307879175673
13,2013,2,Bình Phước,4.7329035,4.567624,33230.52,23.746265,2455.5,6.891681,6.670165,6.648366,6.122173,6.838154,4.774447,5.417611,6.034218,6.551477,6.307601,6.083885,6.896664,6.373647,19167.029,562.2,5271.759599182999,10.411224009736586
