tinh,huyen,xa,diaban,hoso,matv,sector,income
1,1,4,12,13,1,,
1,1,4,12,13,2,Private,35913
1,1,4,12,13,3,StateRun,42528
1,1,4,12,13,4,HomeBusiness,
1,1,4,12,13,5,,
1,1,4,12,13,6,,
1,1,4,12,14,1,StateRun,80887
1,1,4,12,14,2,Private,81838
1,1,4,12,15,1,Private,54248
1,1,4,12,15,2,FarmForestAqua,23793
1,1,4,12,15,3,Foreign,79946
1,1,4,12,15,4,,
1,1,7,22,13,1,,
1,1,7,22,13,2,StateRun,86629
1,1,7,22,13,3,,
1,1,7,22,13,4,,
1,1,7,22,15,1,,
1,1,7,22,15,2,Private,86958
1,1,7,22,15,3,,
1,1,7,22,15,4,,
1,1,7,22,20,1,StateRun,68043
1,1,7,22,20,2,StateRun,61049
1,1,7,22,20,3,,
1,1,7,22,20,4,,
1,1,7,22,20,5,,
1,1,16,15,14,1,StateRun,75367
1,1,16,15,14,2,,
1,1,16,15,19,1,StateRun,73847
1,1,16,15,19,2,StateRun,66996
1,1,16,15,19,3,,
1,1,16,15,20,1,StateRun,85267
1,1,16,15,20,2,Private,59954
1,1,16,15,20,3,,
1,1,16,15,20,4,,
1,1,22,19,13,1,,
1,1,22,19,13,2,Collective,51384
1,1,22,19,13,3,Foreign,64707
1,1,22,19,13,4,StateRun,51384
1,1,22,19,13,5,,
1,1,22,19,14,1,StateRun,66416
1,1,22,19,14,2,StateRun,50431
1,1,22,19,14,3,,
1,1,22,19,14,4,,
1,1,22,19,19,1,StateRun,36674
1,1,22,19,19,2,StateRun,75619
1,1,22,19,19,3,,
1,1,22,19,19,4,,
1,1,28,20,13,1,Private,49492
1,1,28,20,13,2,StateRun,60913
1,1,28,20,13,3,Private,43781
1,1,28,20,13,4,Private,24746
1,1,28,20,15,1,,
1,1,28,20,15,2,StateRun,2362
1,1,28,20,15,3,Private,26459
1,1,28,20,15,4,Private,40634
1,1,28,20,15,5,,
1,1,28,20,15,6,,
1,1,28,20,19,1,,
1,1,28,20,19,2,StateRun,36375
1,1,28,20,19,3,Foreign,26454
1,1,28,20,19,4,StateRun,25510
1,1,28,20,19,5,Private,38737
1,1,28,20,19,6,,
1,1,34,25,13,1,,
1,1,34,25,13,2,,
1,1,34,25,13,3,,
1,1,34,25,13,4,HomeBusiness,23150
1,1,34,25,14,1,FarmForestAqua,57298
1,1,34,25,14,2,FarmForestAqua,75762
1,1,34,25,14,3,,
1,1,34,25,15,1,,
1,1,34,25,15,2,Private,18506
1,1,34,25,15,3,StateRun,32498
1,1,34,25,15,4,,
1,1,34,25,15,5,,
1,2,40,6,13,1,HomeBusiness,
1,2,40,6,13,2,HomeBusiness,
1,2,40,6,13,3,,
1,2,40,6,13,4,,
1,2,40,6,14,1,,
1,2,40,6,14,2,,
1,2,40,6,15,1,HomeBusiness,
1,2,40,6,15,2,HomeBusiness,
1,2,40,6,15,3,,
1,2,40,6,15,4,,
1,2,55,11,13,1,,
1,2,55,11,13,2,HomeBusiness,
1,2,55,11,14,1,StateRun,46949
1,2,55,11,14,2,StateRun,22571
1,2,55,11,14,3,,
1,2,55,11,14,4,,
1,2,55,11,15,1,HomeBusiness,32359
1,2,55,11,15,2,,
1,2,55,11,15,3,StateRun,98979
1,2,67,23,15,1,,
1,2,67,23,15,2,,
1,2,67,23,19,1,,
1,2,67,23,19,2,HomeBusiness,
1,2,67,23,19,3,Private,95440
1,2,67,23,19,4,,
1,2,67,23,20,1,,
1,2,67,23,20,2,,
1,2,67,23,20,3,Foreign,108092
1,2,67,23,20,4,Private,100860
1,2,67,23,20,5,,
1,2,79,11,13,1,Private,220787
1,2,79,11,13,2,Private,67568
1,2,79,11,13,3,,
1,2,79,11,14,1,,
1,2,79,11,14,2,,
1,2,79,11,14,3,StateRun,20806
1,2,79,11,19,1,StateRun,62227
1,2,79,11,19,2,Foreign,74311
1,2,79,11,19,3,,
1,2,79,11,19,4,,
1,3,91,6,13,1,FarmForestAqua,
1,3,91,6,13,2,FarmForestAqua,
1,3,91,6,13,3,StateRun,74198
1,3,91,6,13,4,StateRun,40171
1,3,91,6,13,5,,
1,3,91,6,14,1,,
1,3,91,6,14,2,,
1,3,91,6,15,1,StateRun,47252
1,3,91,6,15,2,HomeBusiness,
1,3,91,6,15,3,,
1,3,106,13,13,1,StateRun,69467
1,3,106,13,13,2,Private,33877
1,3,106,13,14,1,HomeBusiness,
1,3,106,13,14,2,,
1,3,106,13,14,3,Private,34966
1,3,106,13,14,4,Private,40637
1,3,106,13,15,1,,
1,3,106,13,15,2,HomeBusiness,
1,3,106,13,15,3,HomeBusiness,
1,3,106,13,15,4,,
1,3,112,20,13,1,StateRun,68995
1,3,112,20,13,2,FarmForestAqua,
1,3,112,20,13,3,,
1,3,112,20,13,4,,
1,3,112,20,15,1,FarmForestAqua,
1,3,112,20,15,2,HomeBusiness,
1,3,112,20,15,3,,
1,3,112,20,15,4,,
1,3,112,20,15,5,,
1,3,112,20,20,1,,
1,3,112,20,20,2,,
1,3,112,20,20,3,Foreign,76547
1,3,112,20,20,4,FarmForestAqua,
1,3,112,20,20,5,,
1,3,112,20,20,6,,
1,4,118,39,13,1,,
1,4,118,39,13,2,Private,54248
1,4,118,39,13,3,StateRun,59006
1,4,118,39,13,4,Foreign,72330
1,4,118,39,14,1,HomeBusiness,
1,4,118,39,14,2,StateRun,119444
1,4,118,39,14,3,,
1,4,118,39,14,4,,
1,4,118,39,15,1,,
1,4,118,39,15,2,,
1,4,118,39,15,3,,
1,4,118,39,15,4,,
1,4,124,39,14,1,,
1,4,124,39,14,2,HomeBusiness,
1,4,124,39,14,3,Private,173189
1,4,124,39,14,4,Private,124657
1,4,124,39,14,5,Private,17699
1,4,124,39,15,1,,
1,4,124,39,15,2,,
1,4,124,39,20,1,Private,125614
1,4,124,39,20,2,StateRun,107533
1,4,133,30,14,1,StateRun,66157
1,4,133,30,14,2,,
1,4,133,30,14,3,,
1,4,133,30,14,4,,
1,4,133,30,15,1,HomeBusiness,
1,4,133,30,15,2,,
1,4,133,30,15,3,,
1,4,133,30,15,4,,
1,4,133,30,20,1,Private,68516
1,4,133,30,20,2,Private,112290
1,4,133,30,20,3,,
1,4,139,50,13,1,StateRun,50558
1,4,139,50,13,2,StateRun,44888
1,4,139,50,13,3,,
1,4,139,50,13,4,,
1,4,139,50,14,1,,
1,4,139,50,14,2,,
1,4,139,50,14,3,Private,28438
1,4,139,50,14,4,,
1,4,139,50,19,1,,
1,4,139,50,19,2,StateRun,61862
1,4,148,6,13,1,StateRun,78020
1,4,148,6,13,2,,
1,4,148,6,13,3,,
1,4,148,6,13,4,StateRun,63748
1,4,148,6,13,5,Private,71359
1,4,148,6,13,6,,
1,4,148,6,14,1,HomeBusiness,
1,4,148,6,14,2,FarmForestAqua,
1,4,148,6,14,3,,
1,4,148,6,14,4,,
1,4,148,6,15,1,FarmForestAqua,
1,4,148,6,15,2,FarmForestAqua,
1,4,148,6,15,3,HomeBusiness,20797
1,4,148,6,15,4,FarmForestAqua,
1,4,148,6,15,5,,
1,5,157,22,13,1,,
1,5,157,22,13,2,,
1,5,157,22,13,3,Foreign,194510
1,5,157,22,13,4,StateRun,127515
1,5,157,22,13,5,,
1,5,157,22,13,6,,
1,5,157,22,14,1,Private,181760
1,5,157,22,14,2,Private,205551
1,5,157,22,14,3,Private,89452
1,5,157,22,14,4,,
1,5,157,22,20,1,Private,118959
1,5,157,22,20,2,StateRun,135614
1,5,157,22,20,3,,
1,5,157,22,20,4,,
1,5,163,12,13,1,HomeBusiness,
1,5,163,12,13,2,HomeBusiness,
1,5,163,12,13,3,Private,70050
1,5,163,12,13,4,,
1,5,163,12,13,5,StateRun,28553
1,5,163,12,13,6,StateRun,28553
1,5,163,12,14,1,,
1,5,163,12,14,2,,
1,5,163,12,14,3,StateRun,64710
1,5,163,12,14,4,Private,114193
1,5,163,12,14,5,,
1,5,163,12,15,1,,
1,5,163,12,15,2,StateRun,100396
1,5,163,12,15,3,StateRun,55289
1,5,163,12,15,4,,
1,5,163,12,15,5,,
1,5,167,23,13,1,HomeBusiness,
1,5,167,23,13,2,HomeBusiness,
1,5,167,23,13,3,Private,39491
1,5,167,23,14,1,,
1,5,167,23,14,2,,
1,5,167,23,14,3,StateRun,49386
1,5,167,23,15,1,StateRun,33309
1,5,167,23,15,2,,
1,5,172,36,13,1,Private,79225
1,5,172,36,13,2,Private,113770
1,5,172,36,14,1,StateRun,49488
1,5,172,36,14,2,StateRun,86128
1,5,172,36,14,3,,
1,5,172,36,19,1,StateRun,3083
1,5,172,36,19,2,,
1,5,172,36,19,3,StateRun,47581
1,5,172,36,19,4,StateRun,42538
1,5,172,36,19,5,,
1,5,172,36,19,6,,
1,6,178,8,13,1,,
1,6,178,8,13,2,HomeBusiness,18081
1,6,178,8,13,3,HomeBusiness,
1,6,178,8,13,4,,
1,6,178,8,14,1,StateRun,99333
1,6,178,8,14,2,StateRun,48335
1,6,178,8,14,3,,
1,6,178,8,14,4,,
1,6,178,8,20,1,HomeBusiness,
1,6,178,8,20,2,HomeBusiness,
1,6,178,8,20,3,,
1,6,178,8,20,4,,
1,6,178,8,20,5,,
1,6,187,10,13,1,Private,252222
1,6,187,10,13,2,StateRun,64341
1,6,187,10,13,3,Private,36168
1,6,187,10,13,4,,
1,6,187,10,13,5,,
1,6,187,10,13,6,,
1,6,187,10,14,1,Private,118003
1,6,187,10,14,2,Private,60429
1,6,187,10,14,3,,
1,6,187,10,14,4,Private,37590
1,6,187,10,15,1,StateRun,65668
1,6,187,10,15,2,StateRun,43778
1,6,187,10,15,3,,
1,6,187,10,15,4,,
1,6,187,10,15,5,,
1,6,190,39,13,1,,
1,6,190,39,13,2,Foreign,153212
1,6,190,39,13,3,Foreign,96114
1,6,190,39,13,4,StateRun,110388
1,6,190,39,13,5,,
1,6,190,39,19,1,,
1,6,190,39,19,2,Private,29980
1,6,190,39,19,3,Private,93268
1,6,190,39,19,4,StateRun,22651
1,6,190,39,20,1,StateRun,120887
1,6,190,39,20,2,,
1,6,190,39,20,3,Private,46166
1,6,190,39,20,4,,
1,6,199,6,13,1,,
1,6,199,6,13,2,,
1,6,199,6,14,1,FarmForestAqua,17125
1,6,199,6,14,2,,
1,6,199,6,19,1,StateRun,64709
1,6,199,6,19,2,StateRun,44250
1,6,199,6,19,3,,
1,6,205,2,14,1,StateRun,44042
1,6,205,2,14,2,StateRun,71072
1,6,205,2,14,3,StateRun,14650
1,6,205,2,14,4,,
1,6,205,2,15,1,,
1,6,205,2,15,2,Private,4517
1,6,205,2,15,3,Foreign,52846
1,6,205,2,15,4,,
1,6,205,2,20,1,Private,23793
1,6,205,2,20,2,StateRun,128479
1,6,205,2,20,3,,
1,6,205,2,20,4,,
1,6,211,19,13,1,,
1,6,211,19,14,1,,
1,6,211,19,14,2,StateRun,36857
1,6,211,19,20,1,,
1,6,211,19,20,2,,
1,6,211,19,20,3,StateRun,67086
1,6,211,19,20,4,StateRun,41669
1,6,211,19,20,5,,
1,6,211,19,20,6,,
1,6,217,31,13,1,,
1,6,217,31,13,2,,
1,6,217,31,14,1,StateRun,90404
1,6,217,31,14,2,StateRun,113243
1,6,217,31,14,3,,
1,6,217,31,14,4,,
1,6,217,31,14,5,,
1,6,217,31,14,6,FarmForestAqua,23791
1,6,217,31,20,1,,
1,6,217,31,20,2,,
1,6,223,32,13,1,Private,104187
1,6,223,32,13,2,HomeBusiness,
1,6,223,32,13,3,,
1,6,223,32,13,4,,
1,6,223,32,15,1,StateRun,2284
1,6,223,32,15,2,,
1,6,223,32,15,3,,
1,6,223,32,19,1,,
1,6,223,32,19,2,,
1,6,232,17,14,1,Private,53297
1,6,232,17,14,2,,
1,6,232,17,14,3,,
1,6,232,17,14,4,Private,140095
1,6,232,17,14,5,Private,140095
1,6,232,17,14,6,,
1,6,232,17,15,1,,
1,6,232,17,20,1,,
1,6,232,17,20,2,,
1,6,232,17,20,3,StateRun,60916
1,6,232,17,20,4,Private,137632
1,6,232,17,20,5,,
1,7,244,31,13,1,Private,50093
1,7,244,31,13,2,HomeBusiness,
1,7,244,31,13,3,,
1,7,244,31,13,4,,
1,7,244,31,14,1,HomeBusiness,
1,7,244,31,14,2,FarmForestAqua,
1,7,244,31,14,3,Private,22683
1,7,244,31,15,1,,
1,7,244,31,15,2,,
1,7,244,31,15,3,HomeBusiness,21671
1,7,244,31,15,4,,
1,7,244,31,15,5,,
1,7,244,31,15,6,,
1,7,259,7,13,1,FarmForestAqua,
1,7,259,7,13,2,FarmForestAqua,
1,7,259,7,13,3,FarmForestAqua,
1,7,259,7,13,4,HomeBusiness,34018
1,7,259,7,14,1,HomeBusiness,
1,7,259,7,14,2,HomeBusiness,
1,7,259,7,14,3,,
1,7,259,7,14,4,,
1,7,259,7,15,1,Foreign,116570
1,7,268,16,13,1,StateRun,11420
1,7,268,16,13,2,StateRun,61097
1,7,268,16,13,3,StateRun,69471
1,7,268,16,13,4,,
1,7,268,16,14,1,StateRun,105439
1,7,268,16,14,2,Private,34258
1,7,268,16,14,3,,
1,7,268,16,14,4,,
1,7,268,16,15,1,StateRun,39027
1,7,268,16,15,2,HomeBusiness,
1,7,268,16,15,3,Private,17134
1,7,268,16,15,4,,
1,7,274,14,13,1,HomeBusiness,
1,7,274,14,13,2,Private,53290
1,7,274,14,13,3,,
1,7,274,14,13,4,,
1,7,274,14,13,5,,
1,7,274,14,13,6,,
1,7,274,14,15,1,HomeBusiness,
1,7,274,14,15,2,HomeBusiness,
1,7,274,14,15,3,,
1,7,274,14,15,4,,
1,7,274,14,20,1,FarmForestAqua,
1,7,274,14,20,2,HomeBusiness,
1,7,274,14,20,3,,
1,7,283,9,15,1,Private,71354
1,7,283,9,15,2,Private,52326
1,7,283,9,15,3,,
1,7,283,9,19,1,StateRun,68516
1,7,283,9,19,2,HomeBusiness,
1,7,283,9,19,3,,
1,7,283,9,19,4,,
1,7,283,9,20,1,Private,115178
1,7,283,9,20,2,Foreign,73295
1,7,283,9,20,3,,
1,7,283,9,20,4,,
1,7,289,19,13,1,HomeBusiness,
1,7,289,19,13,2,HomeBusiness,
1,7,289,19,13,3,,
1,7,289,19,14,1,,
1,7,289,19,14,2,HomeBusiness,
1,7,289,19,14,3,HomeBusiness,
1,7,289,19,14,4,,
1,7,289,19,14,5,,
1,7,289,19,15,1,Private,41592
1,7,289,19,15,2,HomeBusiness,
1,7,289,19,15,3,,
1,7,289,19,15,4,,
1,7,298,12,13,1,HomeBusiness,
1,7,298,12,13,2,HomeBusiness,
1,7,298,12,13,3,,
1,7,298,12,14,1,HomeBusiness,
1,7,298,12,14,2,HomeBusiness,
1,7,298,12,14,3,HomeBusiness,
1,7,298,12,14,4,,
1,7,298,12,15,1,HomeBusiness,
1,7,298,12,15,2,HomeBusiness,
1,7,298,12,15,3,,
1,7,298,12,15,4,,
1,7,298,12,15,5,,
1,8,304,14,14,1,HomeBusiness,
1,8,304,14,15,1,Private,58538
1,8,304,14,15,2,StateRun,82810
1,8,304,14,15,3,,
1,8,304,14,15,4,,
1,8,304,14,19,1,Private,74228
1,8,304,14,19,2,StateRun,86123
1,8,304,14,19,3,,
1,8,304,14,19,4,,
1,8,307,54,14,1,StateRun,149409
1,8,307,54,14,2,Foreign,442516
1,8,307,54,14,3,,
1,8,307,54,14,4,,
1,8,307,54,15,1,,
1,8,307,54,15,2,StateRun,117996
1,8,307,54,15,3,StateRun,46151
1,8,307,54,15,4,Foreign,112286
1,8,307,54,15,5,,
1,8,307,54,15,6,,
1,8,307,54,20,1,,
1,8,307,54,20,2,,
1,8,307,54,20,3,StateRun,118986
1,8,307,54,20,4,StateRun,30442
1,8,307,54,20,5,,
1,8,313,37,13,1,StateRun,80156
1,8,313,37,13,2,Foreign,61841
1,8,313,37,13,3,,
1,8,313,37,13,4,,
1,8,313,37,14,1,Private,18902
1,8,313,37,14,2,,
1,8,313,37,14,3,Private,24572
1,8,313,37,14,4,,
1,8,313,37,20,1,,
1,8,313,37,20,2,HomeBusiness,
1,8,313,37,20,3,Private,39600
1,8,313,37,20,4,,
1,8,322,17,13,1,StateRun,77493
1,8,322,17,13,2,,
1,8,322,17,13,3,,
1,8,322,17,13,4,,
1,8,322,17,15,1,Private,65471
1,8,322,17,15,2,Foreign,82790
1,8,322,17,15,3,,
1,8,322,17,15,4,,
1,8,322,17,19,1,HomeBusiness,
1,8,322,17,19,2,HomeBusiness,
1,8,322,17,19,3,,
1,8,322,17,19,4,,
1,8,328,14,13,1,,
1,8,328,14,13,2,,
1,8,328,14,13,3,,
1,8,328,14,14,1,StateRun,138446
1,8,328,14,14,2,StateRun,41106
1,8,328,14,14,3,,
1,8,328,14,14,4,,
1,8,328,14,15,1,HomeBusiness,
1,8,328,14,15,2,HomeBusiness,
1,8,328,14,15,3,,
1,8,328,14,15,4,,
1,8,328,14,15,5,,
1,8,337,29,13,1,StateRun,213672
1,8,337,29,13,2,Private,97080
1,8,337,29,13,3,,
1,8,337,29,13,4,,
1,8,337,29,13,5,,
1,8,337,29,14,1,StateRun,97561
1,8,337,29,14,2,StateRun,37505
1,8,337,29,14,3,,
1,8,337,29,14,4,,
1,8,337,29,14,5,HomeBusiness,
1,8,337,29,14,6,HomeBusiness,9135
1,8,337,29,15,1,,
1,8,337,29,15,2,Private,7804
1,8,337,29,15,3,Foreign,306438
1,8,337,29,15,4,,
1,9,343,24,14,1,StateRun,90894
1,9,343,24,14,2,StateRun,100602
1,9,343,24,14,3,,
1,9,343,24,15,1,FarmForestAqua,
1,9,343,24,15,2,StateRun,65699
1,9,343,24,15,3,StateRun,30722
1,9,343,24,15,4,,
1,9,343,24,15,5,HomeBusiness,24956
1,9,343,24,15,6,,
1,9,343,24,15,7,StateRun,31952
1,9,343,24,15,8,FarmForestAqua,
1,9,343,24,19,1,,
1,9,343,24,19,2,,
1,9,343,24,19,3,Private,43570
1,9,343,24,19,4,HomeBusiness,31755
1,9,343,24,19,5,,
1,9,343,24,19,6,StateRun,25613
1,9,343,24,19,7,Private,39694
1,9,343,24,19,8,,
1,9,349,7,13,1,,
1,9,349,7,13,2,StateRun,71373
1,9,349,7,13,3,StateRun,48534
1,9,349,7,13,4,Private,85648
1,9,349,7,15,1,Private,231233
1,9,349,7,15,2,Private,196977
1,9,349,7,15,3,,
1,9,349,7,15,4,,
1,9,349,7,19,1,StateRun,144645
1,9,349,7,19,2,,
1,9,349,7,19,3,,
1,9,355,2,13,1,,
1,9,355,2,13,2,,
1,9,355,2,13,3,StateRun,31500
1,9,355,2,13,4,StateRun,80416
1,9,355,2,14,1,FarmForestAqua,
1,9,355,2,14,2,FarmForestAqua,
1,9,355,2,15,1,,
1,9,355,2,15,2,,
1,9,361,17,13,1,StateRun,28629
1,9,361,17,13,2,,
1,9,361,17,15,1,Private,51974
1,9,361,17,15,2,,
1,9,361,17,15,3,Private,44414
1,9,361,17,15,4,Private,43469
1,9,361,17,15,5,,
1,9,361,17,19,1,,
1,9,361,17,19,2,,
1,9,361,17,19,3,StateRun,62378
1,9,361,17,19,4,Private,42530
1,9,361,17,19,5,,
1,9,367,51,13,1,,
1,9,367,51,13,2,,
1,9,367,51,13,3,Private,75663
1,9,367,51,13,4,StateRun,48919
1,9,367,51,13,5,,
1,9,367,51,13,6,,
1,9,367,51,14,1,,
1,9,367,51,14,2,StateRun,69654
1,9,367,51,14,3,StateRun,65848
1,9,367,51,14,4,,
1,9,367,51,14,5,,
1,9,367,51,15,1,,
1,9,367,51,15,2,,
1,9,367,51,15,3,StateRun,71273
1,9,367,51,15,4,StateRun,51291
1,16,382,10,13,1,HomeBusiness,
1,16,382,10,13,2,FarmForestAqua,
1,16,382,10,13,3,Foreign,32594
1,16,382,10,13,4,FarmForestAqua,
1,16,382,10,13,5,FarmForestAqua,
1,16,382,10,13,6,,
1,16,382,10,14,1,HomeBusiness,17331
1,16,382,10,14,2,HomeBusiness,
1,16,382,10,14,3,,
1,16,382,10,14,4,,
1,16,382,10,15,1,HomeBusiness,16261
1,16,382,10,15,2,FarmForestAqua,
1,16,382,10,15,3,Foreign,10046
1,16,382,10,15,4,FarmForestAqua,
1,16,397,2,13,1,Private,66134
1,16,397,2,13,2,StateRun,24004
1,16,397,2,13,3,,
1,16,397,2,13,4,,
1,16,397,2,14,1,FarmForestAqua,
1,16,397,2,14,2,FarmForestAqua,
1,16,397,2,14,3,Private,28833
1,16,397,2,14,4,Foreign,24012
1,16,397,2,14,5,,
1,16,397,2,14,6,,
1,16,397,2,19,1,FarmForestAqua,
1,16,397,2,19,2,FarmForestAqua,
1,16,406,19,13,1,HomeBusiness,23840
1,16,406,19,13,2,FarmForestAqua,
1,16,406,19,13,3,,
1,16,406,19,13,4,,
1,16,406,19,14,1,HomeBusiness,29791
1,16,406,19,14,2,HomeBusiness,16936
1,16,406,19,14,3,HomeBusiness,1896
1,16,406,19,14,4,,
1,16,406,19,15,1,HomeBusiness,10839
1,16,406,19,15,2,FarmForestAqua,
1,16,406,19,15,3,HomeBusiness,24505
1,16,406,19,15,4,Foreign,23845
1,16,406,19,15,5,,
1,16,418,21,13,1,HomeBusiness,
1,16,418,21,13,2,HomeBusiness,
1,16,418,21,13,3,,
1,16,418,21,13,4,,
1,16,418,21,14,1,Foreign,11122
1,16,418,21,14,2,Foreign,35115
1,16,418,21,14,3,,
1,16,418,21,14,4,,
1,16,418,21,15,1,FarmForestAqua,
1,16,418,21,15,2,FarmForestAqua,
1,16,418,21,15,3,HomeBusiness,26008
1,16,418,21,15,4,FarmForestAqua,
1,16,418,21,15,5,,
1,16,418,21,15,6,,
1,16,433,3,14,1,HomeBusiness,21670
1,16,433,3,14,2,FarmForestAqua,
1,16,433,3,14,3,Foreign,24601
1,16,433,3,14,4,,
1,16,433,3,14,5,,
1,16,433,3,14,6,FarmForestAqua,
1,16,433,3,15,1,HomeBusiness,
1,16,433,3,15,2,Private,17440
1,16,433,3,15,3,,
