,tinh,huyen,xa,diaban,hoso,matv,age,male,married,yoeduc,income,sector
11126,31,307,11429,8,14,2,53,0,1,6,24570,HomeBusiness
16157,42,436,18070,3,13,3,28,0,1,12,22534,StateRun
30748,82,824,28723,17,13,1,48,1,1,3,6967,FarmForestAqua
33461,89,890,30520,7,14,1,43,1,1,1,3526,FarmForestAqua
18600,48,495,20260,18,20,2,35,0,1,12,33327,StateRun
3496,10,80,2647,18,15,3,30,0,1,14,31649,StateRun
6599,19,169,5683,11,15,2,28,0,1,11,7192,HomeBusiness
23109,64,622,23557,22,14,4,53,1,1,9,52951,HomeBusiness
23164,64,622,23579,2,14,2,47,0,1,9,19594,FarmForestAqua
14348,38,381,14823,5,15,4,27,1,0,12,7992,HomeBusiness
4124,11,99,3253,2,14,1,39,1,1,0,13350,HomeBusiness
3111,8,73,2287,3,15,3,26,1,0,16,19253,StateRun
21346,56,571,22513,12,13,3,39,1,1,9,44689,HomeBusiness
17266,45,464,19408,7,14,3,31,1,1,12,35671,HomeBusiness
32606,87,872,30037,14,14,2,54,1,0,5,5267,FarmForestAqua
2698,6,61,1906,8,15,1,26,1,1,12,25861,StateRun
36220,95,958,31912,7,14,3,22,0,0,12,34045,StateRun
11215,31,311,11485,11,15,3,26,1,0,16,76890,StateRun
9556,26,252,9085,4,14,3,21,1,0,12,24080,Foreign
14794,38,397,15664,9,14,1,52,1,0,12,18054,StateRun
23210,64,622,23602,19,14,3,18,1,0,8,19081,HomeBusiness
32398,87,866,29893,23,14,1,46,1,1,12,24659,StateRun
6795,19,172,5905,6,15,1,26,1,1,9,16767,HomeBusiness
5436,15,132,4255,2,13,2,39,0,1,16,43198,StateRun
34040,91,905,30887,2,14,1,37,1,1,16,48569,StateRun
3561,10,82,2710,6,15,2,46,0,1,14,80329,StateRun
36055,95,956,31852,21,14,2,44,0,1,2,4913,FarmForestAqua
11145,31,307,11446,15,14,3,30,1,1,9,24698,HomeBusiness
9616,26,252,9151,2,14,1,36,1,1,5,28489,HomeBusiness
11432,31,314,11743,15,13,3,18,1,0,9,11149,HomeBusiness
27961,77,747,26539,12,15,1,36,1,1,16,75000,Private
15188,38,406,16501,6,13,1,53,1,1,12,20071,StateRun
91,1,2,55,11,15,3,30,1,0,16,98979,StateRun
21902,58,587,22873,20,14,2,46,0,1,3,8400,FarmForestAqua
26256,72,709,25639,8,19,1,49,0,0,5,15028,FarmForestAqua
21297,56,570,22462,18,14,1,47,0,0,4,25184,HomeBusiness
5427,15,132,4249,16,14,2,49,1,1,12,22201,HomeBusiness
24968,68,672,24790,19,19,1,41,1,1,12,22201,HomeBusiness
19858,51,534,21472,8,13,1,35,1,1,8,15220,HomeBusiness
35944,94,951,31687,21,15,3,29,0,0,16,39371,StateRun
29114,79,775,27352,17,14,2,45,0,1,12,21173,StateRun
6346,19,164,5440,16,15,1,39,0,1,16,38430,StateRun
28976,79,772,27208,8,14,1,41,1,0,18,92381,StateRun
22536,60,600,23191,17,13,2,26,0,1,12,12660,StateRun
32511,87,869,29947,15,14,2,52,1,1,2,23966,FarmForestAqua
27098,75,731,26008,17,15,7,25,1,1,12,29963,Foreign
15755,40,424,17380,4,14,1,33,1,1,12,24529,StateRun
6421,19,164,5494,10,14,2,30,0,1,16,24947,StateRun
3915,11,94,3133,15,14,1,38,0,1,12,44038,Private
32855,87,875,30196,8,14,1,66,1,0,5,15596,FarmForestAqua
10939,31,303,11320,6,14,3,30,0,1,12,33259,StateRun
16922,44,455,19111,10,14,1,55,1,1,16,69320,StateRun
