tinh,huyen,xa,diaban,hoso,matv,male,married,yoeduc,income,sector
1,1,4,12,13,4,1,1,9,,HomeBusiness
1,1,4,12,13,2,1,0,12,35913,Private
1,1,4,12,13,1,0,0,8,,
1,1,4,12,13,3,1,1,10,42528,StateRun
1,1,4,12,14,1,1,1,16,80887,StateRun
1,1,4,12,14,2,0,1,16,81838,Private
1,1,4,12,15,3,0,0,16,79946,Foreign
1,1,4,12,15,1,1,1,16,54248,Private
1,1,4,12,15,4,1,0,16,,
1,1,4,12,15,2,0,1,16,23793,FarmForestAqua
1,1,7,22,13,1,1,1,16,,
1,1,7,22,13,4,0,0,12,,
1,1,7,22,13,2,0,1,16,86629,StateRun
1,1,7,22,13,3,0,0,16,,
1,1,7,22,15,1,0,1,12,,
1,1,7,22,15,3,0,0,16,,
1,1,7,22,15,2,1,1,16,86958,Private
1,1,7,22,15,4,0,0,12,,
1,1,7,22,20,1,0,1,16,68043,StateRun
1,1,7,22,20,5,0,0,10,,
1,1,7,22,20,2,1,1,16,61049,StateRun
1,1,16,15,14,1,1,1,16,75367,StateRun
1,1,16,15,14,2,0,1,16,,
1,1,16,15,19,2,0,1,16,66996,StateRun
1,1,16,15,19,1,1,1,16,73847,StateRun
1,1,16,15,20,4,1,0,2,,
1,1,16,15,20,2,0,1,16,59954,Private
1,1,16,15,20,1,1,1,16,85267,StateRun
1,1,16,15,20,3,0,0,8,,
1,1,22,19,13,2,1,1,12,51384,Collective
1,1,22,19,13,5,0,0,0,,
1,1,22,19,13,3,0,1,16,64707,Foreign
1,1,22,19,13,1,0,0,9,,
1,1,22,19,13,4,1,0,16,51384,StateRun
1,1,22,19,14,1,1,1,23,66416,StateRun
1,1,22,19,14,4,1,0,1,,
1,1,22,19,14,3,0,0,4,,
1,1,22,19,14,2,0,1,16,50431,StateRun
1,1,22,19,19,2,1,1,16,75619,StateRun
1,1,22,19,19,3,0,0,12,,
1,1,22,19,19,1,0,1,16,36674,StateRun
1,1,22,19,19,4,1,0,3,,
1,1,28,20,13,4,1,0,16,24746,Private
1,1,28,20,13,3,1,0,16,43781,Private
1,1,28,20,13,2,1,1,16,60913,StateRun
1,1,28,20,13,1,0,1,16,49492,Private
1,1,28,20,15,4,0,1,16,40634,Private
1,1,28,20,15,5,0,0,10,,
1,1,28,20,15,6,1,0,5,,
1,1,28,20,15,2,1,1,16,2362,StateRun
1,1,28,20,15,1,0,1,16,,
1,1,28,20,15,3,0,1,12,26459,Private
1,1,28,20,19,2,1,1,16,36375,StateRun
1,1,28,20,19,3,1,0,12,26454,Foreign
1,1,28,20,19,1,0,1,16,,
1,1,28,20,19,4,1,1,16,25510,StateRun
1,1,28,20,19,5,0,1,16,38737,Private
1,1,34,25,13,1,1,1,16,,
1,1,34,25,13,2,0,1,16,,
1,1,34,25,13,4,0,1,12,23150,HomeBusiness
1,1,34,25,13,3,1,1,12,,
1,1,34,25,14,2,0,1,16,75762,FarmForestAqua
1,1,34,25,14,1,1,1,16,57298,FarmForestAqua
1,1,34,25,15,3,1,1,12,32498,StateRun
1,1,34,25,15,2,0,1,12,18506,Private
1,1,34,25,15,1,0,0,9,,
